gene	length	score	occurrences	# sites
TcCLB.507953.130	2479	48	12	2
TcCLB.507953.210	692	56	1	2
TcCLB.507953.30	620	56	1	5
TcCLB.507953.40	369	47	2	2
TcCLB.507953.60	115	43	1	1
TcCLB.507955.20	209	32	1	1
TcCLB.507957.10	112	23	1	1
TcCLB.507957.100	1014	61	1	1
TcCLB.507957.160	360	33	1	2
TcCLB.507957.240	1173	57	1	1
TcCLB.507957.280	360	56	1	1
TcCLB.507957.320	843	62	2	1
TcCLB.507957.334	354	61	1	1
TcCLB.507959.110	365	32	1	2
TcCLB.507959.240	1419	56	1	2
TcCLB.507959.250	391	8	2	1
TcCLB.507959.270	370	69	4	2
TcCLB.507959.280	739	41	1	1
TcCLB.507959.290	2710	42	2	1
TcCLB.507959.300	376	61	1	1
TcCLB.507959.310	395	48	1	1
TcCLB.507959.90	404	33	1	1
TcCLB.507963.10	722	60	3	8
TcCLB.507963.20	199	44	1	6
TcCLB.507963.40	188	61	2	5
TcCLB.507963.44	129	39	1	1
TcCLB.507963.50	47	67	2	3
TcCLB.507963.70	96	46	2	3
TcCLB.507963.79	1141	61	1	16
TcCLB.507963.90	326	59	4	9
TcCLB.507975.40	638	56	1	1
TcCLB.507975.50	1033	60	6	6
TcCLB.507975.70	102	66	2	7
TcCLB.507975.80	2331	61	1	8
TcCLB.507979.20	70	72	8	4
TcCLB.507979.30	272	61	1	2
TcCLB.507981.40	52	41	1	1
TcCLB.507987.10	1000	32	2	1
TcCLB.507993.10	132	61	1	1
TcCLB.507993.100	36	61	2	3
TcCLB.507993.110	229	56	1	4
TcCLB.507993.120	307	4	1	1
TcCLB.507993.130	214	62	5	19
TcCLB.507993.140	329	57	1	25
TcCLB.507993.150	203	66	4	4
TcCLB.507993.160	342	55	2	1
TcCLB.507993.180	240	56	1	1
TcCLB.507993.190	898	46	2	5
TcCLB.507993.20	707	39	2	3
TcCLB.507993.200	130	68	3	1
TcCLB.507993.210	52	34	1	1
TcCLB.507993.220	68	63	1	7
TcCLB.507993.230	709	27	1	1
TcCLB.507993.250	43	72	2	4
TcCLB.507993.260	396	59	2	9
TcCLB.507993.270	581	56	1	7
TcCLB.507993.290	42	34	1	1
TcCLB.507993.30	362	62	3	6
TcCLB.507993.310	160	41	2	8
TcCLB.507993.320	161	50	3	1
TcCLB.507993.33	73	67	3	1
TcCLB.507993.330	346	62	2	3
TcCLB.507993.340	27	44	1	1
TcCLB.507993.36	98	61	1	4
TcCLB.507993.369	56	66	3	5
TcCLB.507993.380	834	42	1	3
TcCLB.507993.390	801	64	9	24
TcCLB.507993.40	2249	56	1	20
TcCLB.507993.5	129	74	7	4
TcCLB.507993.60	586	57	2	5
TcCLB.507993.70	460	29	1	2
TcCLB.507993.80	29	42	1	19
TcCLB.507993.89	181	62	2	3
TcCLB.507995.20	1793	56	1	2
TcCLB.507997.30	1774	61	1	2
TcCLB.507997.40	77	68	2	2
TcCLB.507997.50	88	66	1	3
TcCLB.507997.54	29	74	26	10
TcCLB.507997.60	18	66	1	2
TcCLB.507997.70	471	3	1	1
TcCLB.507997.80	56	64	2	1
TcCLB.508039.30	580	57	1	5
TcCLB.508039.50	2095	61	2	5
TcCLB.508039.70	210	63	48	18
TcCLB.508039.90	543	67	2	6
TcCLB.508041.20	366	61	1	3
TcCLB.508041.30	95	88	98	3
TcCLB.508041.40	191	59	2	3
TcCLB.508041.50	220	66	9	7
TcCLB.508041.60	254	61	1	3
TcCLB.508041.80	324	52	1	4
TcCLB.508047.20	1056	51	1	1
TcCLB.508047.60	1617	51	1	1
TcCLB.508047.80	368	23	4	2
TcCLB.508067.10	38	52	12	17
TcCLB.508075.14	342	62	2	1
TcCLB.508075.30	393	62	3	2
TcCLB.508075.50	1151	56	1	7
TcCLB.508075.60	186	61	1	3
TcCLB.508081.80	726	61	1	1
TcCLB.508083.10	230	51	12	21
TcCLB.508083.20	100	45	1	1
TcCLB.508085.10	283	49	1	3
TcCLB.508087.20	232	56	1	2
TcCLB.508089.20	480	49	1	1
TcCLB.508089.30	406	62	2	17
TcCLB.508089.40	157	57	1	1
TcCLB.508089.50	151	61	2	3
TcCLB.508089.60	320	56	2	2
TcCLB.508091.10	383	64	1	1
TcCLB.508093.29	335	33	3	1
TcCLB.508097.100	1066	45	1	1
TcCLB.508109.20	379	56	1	1
TcCLB.508109.50	252	37	1	3
TcCLB.508121.110	339	51	1	1
TcCLB.508121.120	421	41	1	1
TcCLB.508121.155	280	41	1	1
TcCLB.508121.30	757	36	1	1
TcCLB.508121.43	109	31	1	1
TcCLB.508121.80	265	61	1	1
TcCLB.508125.130	338	51	1	2
TcCLB.508125.140	357	18	2	1
TcCLB.508125.30	936	11	4	1
TcCLB.508125.40	183	56	1	1
TcCLB.508125.50	1141	56	1	1
TcCLB.508125.80	930	37	1	2
TcCLB.508127.5	373	17	1	1
TcCLB.508131.10	317	52	1	19
TcCLB.508135.10	302	35	1	6
TcCLB.508137.20	317	65	51	40
TcCLB.508137.30	625	54	3	19
TcCLB.508137.40	719	6	1	2
TcCLB.508143.15	1876	50	3	1
TcCLB.508143.65	70	69	3	1
TcCLB.508145.10	66	59	2	3
TcCLB.508145.20	384	76	13	4
TcCLB.508145.30	496	61	1	9
TcCLB.508145.40	215	61	2	4
TcCLB.508147.150	1143	61	1	1
TcCLB.508147.75	1097	41	1	1
TcCLB.508157.40	14	36	1	1
TcCLB.508159.50	1169	46	1	2
TcCLB.508159.60	227	18	1	1
TcCLB.508161.26	588	56	1	1
TcCLB.508161.50	1485	45	5	2
TcCLB.508163.120	324	47	1	1
TcCLB.508163.140	317	57	1	3
TcCLB.508163.150	124	56	1	2
TcCLB.508163.210	1029	31	1	1
TcCLB.508163.230	371	61	2	1
TcCLB.508163.234	49	33	1	1
TcCLB.508163.240	1146	53	1	3
TcCLB.508163.250	81	26	1	1
TcCLB.508163.310	232	56	1	2
TcCLB.508163.320	1160	46	1	3
TcCLB.508163.330	1071	48	3	3
TcCLB.508163.390	346	48	3	1
TcCLB.508163.40	277	31	1	1
TcCLB.508163.400	1224	61	1	2
TcCLB.508163.50	2991	57	1	1
TcCLB.508163.70	284	23	1	1
TcCLB.508165.100	358	56	1	1
TcCLB.508165.170	383	46	1	2
TcCLB.508165.210	368	31	1	2
TcCLB.508165.270	361	31	1	1
TcCLB.508165.280	350	56	1	1
TcCLB.508165.30	1059	61	1	1
TcCLB.508165.330	215	19	1	1
TcCLB.508165.34	395	47	1	1
TcCLB.508165.341	112	32	1	1
TcCLB.508165.380	868	48	1	1
TcCLB.508165.400	396	47	1	1
TcCLB.508165.410	357	1	1	1
TcCLB.508165.420	363	62	2	2
TcCLB.508165.425	350	57	1	1
TcCLB.508169.100	54	53	2	3
TcCLB.508169.110	73	71	4	2
TcCLB.508169.129	180	31	1	2
TcCLB.508169.20	474	93	120	21
TcCLB.508169.30	40	26	1	1
TcCLB.508169.40	56	47	1	1
TcCLB.508169.50	751	68	4	3
TcCLB.508169.60	130	26	1	1
TcCLB.508169.69	63	68	6	12
TcCLB.508169.90	269	56	3	11
TcCLB.508179.10	1438	62	3	9
TcCLB.508179.30	238	47	2	4
TcCLB.508179.40	167	67	2	1
TcCLB.508179.50	51	73	3	4
TcCLB.508179.60	795	67	4	8
TcCLB.508179.70	895	61	1	4
TcCLB.508181.10	205	56	1	1
TcCLB.508181.120	141	43	3	1
TcCLB.508181.124	163	63	2	3
TcCLB.508181.130	153	34	1	1
TcCLB.508181.140	71	51	1	1
TcCLB.508181.149	87	57	1	2
TcCLB.508181.20	644	61	1	7
TcCLB.508181.30	919	70	5	10
TcCLB.508181.40	127	46	1	3
TcCLB.508181.50	116	65	2	12
TcCLB.508181.60	362	61	1	3
TcCLB.508181.70	243	51	1	1
TcCLB.508181.80	28	61	1	3
TcCLB.508181.90	157	32	1	1
TcCLB.508183.10	42	56	1	2
TcCLB.508183.20	75	69	3	3
TcCLB.508185.10	152	62	9	3
TcCLB.508201.30	397	56	3	1
TcCLB.508203.20	146	51	1	3
TcCLB.508203.29	148	48	1	3
TcCLB.508203.38	140	56	5	10
TcCLB.508203.56	140	74	87	8
TcCLB.508205.10	89	73	3	1
TcCLB.508205.20	312	59	13	9
TcCLB.508205.30	329	36	2	20
TcCLB.508205.39	281	57	2	2
TcCLB.508205.48	756	54	1	14
TcCLB.508207.10	1326	69	5	4
TcCLB.508207.100	67	86	49	7
TcCLB.508207.110	48	95	56	8
TcCLB.508207.120	18	51	1	3
TcCLB.508207.135	85	66	1	4
TcCLB.508207.140	128	51	1	1
TcCLB.508207.150	160	63	4	8
TcCLB.508207.160	427	49	1	3
TcCLB.508207.170	191	61	1	3
TcCLB.508207.180	157	63	1	15
TcCLB.508207.190	291	43	1	1
TcCLB.508207.194	177	54	2	3
TcCLB.508207.20	95	66	2	2
TcCLB.508207.200	70	66	1	2
TcCLB.508207.220	84	61	1	2
TcCLB.508207.230	250	56	1	8
TcCLB.508207.240	506	62	2	10
TcCLB.508207.250	1380	34	1	2
TcCLB.508207.260	96	68	3	3
TcCLB.508207.270	164	54	1	5
TcCLB.508207.279	3	42	1	2
TcCLB.508207.31	72	71	2	6
TcCLB.508207.40	748	56	1	5
TcCLB.508207.45	120	61	1	5
TcCLB.508207.54	219	67	2	9
TcCLB.508207.60	372	48	1	5
TcCLB.508207.64	132	61	1	8
TcCLB.508207.70	116	49	1	6
TcCLB.508207.74	479	67	2	12
TcCLB.508209.100	256	89	55	10
TcCLB.508209.110	13	61	1	5
TcCLB.508209.120	154	66	2	3
TcCLB.508209.130	250	58	2	3
TcCLB.508209.140	120	69	35	27
TcCLB.508209.144	1063	59	4	14
TcCLB.508209.150	229	54	3	13
TcCLB.508209.159	232	61	1	1
TcCLB.508209.20	264	53	2	4
TcCLB.508209.30	485	61	1	11
TcCLB.508209.39	369	61	7	4
TcCLB.508209.50	194	62	4	5
TcCLB.508209.60	20	71	2	2
TcCLB.508209.70	57	41	11	3
TcCLB.508209.80	77	66	1	1
TcCLB.508209.90	181	72	3	9
TcCLB.508211.10	153	31	1	1
TcCLB.508211.19	154	44	1	2
TcCLB.508211.30	531	27	1	1
TcCLB.508211.40	204	52	1	2
TcCLB.508211.50	574	35	3	8
TcCLB.508211.60	1256	23	2	3
TcCLB.508211.70	435	60	1	10
TcCLB.508213.20	204	65	4	2
TcCLB.508213.40	93	67	2	7
TcCLB.508213.49	141	61	2	1
TcCLB.508215.10	155	65	25	9
TcCLB.508215.6	289	57	2	5
TcCLB.508215.9	40	22	1	1
TcCLB.508225.20	40	41	1	1
TcCLB.508227.10	650	63	2	2
TcCLB.508227.20	2760	16	1	1
TcCLB.508227.30	344	31	1	1
TcCLB.508227.40	361	11	1	2
TcCLB.508229.30	1030	16	1	1
TcCLB.508237.18	150	7	1	1
TcCLB.508239.10	26	66	1	1
TcCLB.508239.20	113	45	1	1
TcCLB.508239.30	52	72	2	1
TcCLB.508239.40	128	67	2	4
TcCLB.508241.10	353	69	126	13
TcCLB.508241.100	118	36	1	2
TcCLB.508241.104	194	61	1	6
TcCLB.508241.110	40	44	1	1
TcCLB.508241.120	80	60	4	1
TcCLB.508241.130	352	58	1	2
TcCLB.508241.140	998	78	15	13
TcCLB.508241.20	424	60	6	2
TcCLB.508241.30	87	66	1	1
TcCLB.508241.40	203	52	2	2
TcCLB.508241.60	352	62	4	2
TcCLB.508241.80	96	49	2	1
TcCLB.508241.90	242	43	2	3
TcCLB.508265.10	96	68	4	2
TcCLB.508265.100	334	69	52	17
TcCLB.508265.110	342	31	1	7
TcCLB.508265.30	401	58	1	3
TcCLB.508265.40	44	73	3	4
TcCLB.508265.44	214	56	2	6
TcCLB.508265.70	239	51	1	1
TcCLB.508265.80	105	64	5	3
TcCLB.508271.10	314	58	1	5
TcCLB.508271.20	218	61	1	3
TcCLB.508271.30	91	61	1	7
TcCLB.508271.50	180	48	1	1
TcCLB.508277.10	420	61	1	5
TcCLB.508277.100	1448	47	1	3
TcCLB.508277.110	369	63	2	5
TcCLB.508277.120	72	77	52	41
TcCLB.508277.130	56	66	1	4
TcCLB.508277.140	310	63	3	4
TcCLB.508277.150	470	68	7	10
TcCLB.508277.160	278	70	7	17
TcCLB.508277.170	361	52	1	1
TcCLB.508277.180	209	61	6	5
TcCLB.508277.190	464	70	6	8
TcCLB.508277.20	560	67	2	4
TcCLB.508277.200	85	44	1	1
TcCLB.508277.210	126	61	2	9
TcCLB.508277.220	888	61	1	6
TcCLB.508277.230	372	72	15	44
TcCLB.508277.250	45	74	5	2
TcCLB.508277.260	147	61	1	3
TcCLB.508277.269	89	61	1	1
TcCLB.508277.280	156	56	2	2
TcCLB.508277.290	367	67	3	9
TcCLB.508277.30	181	41	2	1
TcCLB.508277.300	86	66	1	2
TcCLB.508277.310	194	61	1	3
TcCLB.508277.320	142	61	1	5
TcCLB.508277.330	210	56	1	4
TcCLB.508277.340	1675	48	1	5
TcCLB.508277.350	286	61	1	14
TcCLB.508277.360	1798	46	10	6
TcCLB.508277.370	730	56	1	12
TcCLB.508277.380	292	36	1	1
TcCLB.508277.390	293	62	3	2
TcCLB.508277.40	601	67	2	7
TcCLB.508277.50	446	59	2	6
TcCLB.508277.60	294	65	209	19
TcCLB.508277.65	64	67	44	24
TcCLB.508277.70	115	56	1	1
TcCLB.508277.80	161	56	1	1
TcCLB.508277.90	61	59	11	9
TcCLB.508283.10	283	37	2	1
TcCLB.508283.60	840	1	1	1
TcCLB.508285.10	566	49	6	5
TcCLB.508285.30	1175	41	1	1
TcCLB.508285.5	671	46	1	1
TcCLB.508285.50	465	56	1	3
TcCLB.508285.60	571	56	9	1
TcCLB.508307.10	233	41	1	1
TcCLB.508307.100	65	68	5	2
TcCLB.508307.110	319	60	5	3
TcCLB.508307.120	115	23	1	2
TcCLB.508307.125	206	27	1	4
TcCLB.508307.130	151	60	2	1
TcCLB.508307.134	737	59	2	2
TcCLB.508307.140	511	41	2	5
TcCLB.508307.150	242	68	3	15
TcCLB.508307.160	290	56	1	4
TcCLB.508307.170	534	56	1	3
TcCLB.508307.180	513	61	1	3
TcCLB.508307.184	36	71	2	2
TcCLB.508307.190	64	61	1	1
TcCLB.508307.20	139	33	1	1
TcCLB.508307.200	345	48	1	1
TcCLB.508307.44	8	47	3	10
TcCLB.508307.50	84	68	4	1
TcCLB.508307.60	287	46	8	5
TcCLB.508307.70	237	63	3	3
TcCLB.508307.80	158	37	1	5
TcCLB.508307.90	72	66	1	3
TcCLB.508317.120	149	48	1	2
TcCLB.508317.20	289	56	1	1
TcCLB.508317.30	51	66	4	1
TcCLB.508317.50	363	47	1	2
TcCLB.508317.60	78	65	2	1
TcCLB.508317.80	56	47	2	2
TcCLB.508321.21	603	65	18	17
TcCLB.508321.30	63	36	2	10
TcCLB.508321.40	529	56	19	20
TcCLB.508321.50	23	47	3	4
TcCLB.508321.60	258	29	2	4
TcCLB.508323.100	136	71	61	21
TcCLB.508323.120	35	47	2	3
TcCLB.508323.190	54	68	2	1
TcCLB.508323.30	522	60	3	6
TcCLB.508323.40	38	66	1	5
TcCLB.508323.60	112	61	2	3
TcCLB.508323.70	239	72	10	2
TcCLB.508323.80	156	26	1	3
TcCLB.508323.84	223	56	3	4
TcCLB.508323.90	1791	45	6	14
TcCLB.508323.94	15	73	4	3
TcCLB.508325.110	731	51	1	2
TcCLB.508325.150	198	56	1	1
TcCLB.508325.160	51	62	3	4
TcCLB.508325.220	369	61	1	3
TcCLB.508325.230	1697	47	2	3
TcCLB.508325.270	194	63	2	1
TcCLB.508325.290	1363	37	2	1
TcCLB.508325.30	2018	46	1	2
TcCLB.508325.300	93	10	1	1
TcCLB.508325.320	95	46	1	2
TcCLB.508325.60	273	58	2	2
TcCLB.508325.80	450	36	1	2
TcCLB.508345.9	160	47	1	2
TcCLB.508347.10	359	57	1	3
TcCLB.508347.100	736	52	7	7
TcCLB.508347.110	29	54	2	4
TcCLB.508347.120	710	56	1	1
TcCLB.508347.130	909	61	1	5
TcCLB.508347.140	906	61	2	17
TcCLB.508347.150	206	41	1	4
TcCLB.508347.159	1504	67	27	7
TcCLB.508347.20	60	56	1	1
TcCLB.508347.24	208	33	2	1
TcCLB.508347.30	41	62	11	12
TcCLB.508347.40	411	57	1	19
TcCLB.508347.50	362	56	1	2
TcCLB.508347.60	65	67	2	2
TcCLB.508347.70	304	61	2	6
TcCLB.508347.80	676	57	2	18
TcCLB.508347.90	407	59	2	1
TcCLB.508357.100	191	62	2	17
TcCLB.508357.20	126	51	1	1
TcCLB.508357.23	22	44	6	2
TcCLB.508357.40	54	61	1	1
TcCLB.508357.80	221	29	1	1
TcCLB.508357.90	270	61	7	9
TcCLB.508367.20	903	42	1	2
TcCLB.508367.70	808	37	1	1
TcCLB.508369.20	421	59	3	16
TcCLB.508369.40	2808	65	2	24
TcCLB.508369.50	711	66	2	8
TcCLB.508373.10	160	66	1	12
TcCLB.508373.20	76	61	1	5
TcCLB.508375.10	1063	67	2	3
TcCLB.508375.30	117	55	4	11
TcCLB.508375.50	534	63	2	5
TcCLB.508375.60	211	61	2	3
TcCLB.508375.80	260	56	1	2
TcCLB.508379.10	177	42	2	9
TcCLB.508379.20	275	56	1	1
TcCLB.508383.10	100	31	1	10
TcCLB.508385.20	817	35	1	3
TcCLB.508385.30	486	45	2	4
TcCLB.508385.40	595	37	1	2
TcCLB.508385.50	199	53	1	3
TcCLB.508385.60	88	51	1	4
TcCLB.508387.10	322	31	1	1
TcCLB.508387.110	144	38	1	2
TcCLB.508387.150	445	37	1	5
TcCLB.508387.160	725	62	2	19
TcCLB.508387.170	800	48	1	4
TcCLB.508387.20	62	79	111	9
TcCLB.508387.30	47	66	1	2
TcCLB.508387.40	71	28	1	1
TcCLB.508387.60	384	63	2	2
TcCLB.508387.70	428	52	1	11
TcCLB.508387.80	1162	61	1	5
TcCLB.508387.90	444	37	1	1
TcCLB.508389.10	429	67	3	13
TcCLB.508389.138	355	36	2	1
TcCLB.508389.90	746	46	1	1
TcCLB.508439.10	93	62	1	6
TcCLB.508439.30	25	37	1	7
TcCLB.508463.10	204	56	1	1
TcCLB.508463.20	84	51	1	1
TcCLB.508465.10	116	66	1	3
TcCLB.508465.100	644	57	1	3
TcCLB.508465.110	774	51	1	4
TcCLB.508465.120	224	61	5	4
TcCLB.508465.130	242	61	1	3
TcCLB.508465.140	78	49	1	3
TcCLB.508465.20	94	61	1	2
TcCLB.508465.40	1202	56	1	3
TcCLB.508465.50	218	69	6	3
TcCLB.508465.60	85	72	2	2
TcCLB.508465.70	84	58	1	2
TcCLB.508465.90	779	68	4	6
TcCLB.508467.10	52	66	1	3
TcCLB.508469.10	346	61	1	5
TcCLB.508469.20	55	66	3	3
TcCLB.508469.30	339	55	2	9
TcCLB.508469.50	1732	61	2	8
TcCLB.508469.59	262	56	1	2
TcCLB.508471.10	138	63	2	2
TcCLB.508473.10	501	65	4	4
TcCLB.508489.20	389	65	8	3
TcCLB.508489.30	881	62	2	4
TcCLB.508515.10	510	56	5	12
TcCLB.508515.100	890	74	10	10
TcCLB.508515.110	44	66	1	3
TcCLB.508515.120	12	59	7	9
TcCLB.508515.170	898	52	1	2
TcCLB.508515.20	518	56	1	26
TcCLB.508515.30	137	60	12	9
TcCLB.508515.40	84	72	2	1
TcCLB.508515.50	175	58	2	2
TcCLB.508515.60	639	58	3	14
TcCLB.508515.80	116	61	1	4
TcCLB.508535.10	74	68	11	16
TcCLB.508535.20	41	55	5	2
TcCLB.508535.30	345	56	2	7
TcCLB.508535.40	116	54	1	14
TcCLB.508535.50	248	59	18	13
TcCLB.508537.10	74	35	1	2
TcCLB.508539.110	1045	51	1	1
TcCLB.508539.130	547	62	2	4
TcCLB.508539.155	260	57	2	1
TcCLB.508539.160	367	46	1	1
TcCLB.508539.20	105	53	1	1
TcCLB.508539.30	382	63	2	10
TcCLB.508539.50	1331	62	2	9
TcCLB.508539.80	364	67	2	1
TcCLB.508539.95	2028	56	1	2
TcCLB.508541.100	2204	56	6	4
TcCLB.508541.125	90	8	2	1
TcCLB.508541.130	371	65	4	1
TcCLB.508541.140	1342	56	1	2
TcCLB.508541.160	408	31	1	2
TcCLB.508541.170	492	57	13	16
TcCLB.508541.190	1826	63	2	22
TcCLB.508541.20	392	53	2	1
TcCLB.508541.200	7	61	1	2
TcCLB.508541.210	65	46	2	19
TcCLB.508541.220	107	48	1	1
TcCLB.508549.10	154	56	1	1
TcCLB.508549.20	159	50	1	15
TcCLB.508551.10	247	61	1	6
TcCLB.508551.20	118	87	54	10
TcCLB.508551.30	685	85	66	18
TcCLB.508555.10	249	61	2	2
TcCLB.508555.20	1332	46	1	2
TcCLB.508555.50	1446	52	1	7
TcCLB.508555.60	33	59	8	14
TcCLB.508559.20	868	11	1	1
TcCLB.508559.29	117	23	2	1
TcCLB.508559.40	261	51	1	1
TcCLB.508559.80	2899	56	1	1
TcCLB.508559.90	276	47	2	5
TcCLB.508563.30	886	51	1	2
TcCLB.508567.100	2014	62	1	23
TcCLB.508567.20	244	56	1	10
TcCLB.508567.30	273	63	3	1
TcCLB.508567.40	726	63	7	4
TcCLB.508567.49	91	64	3	3
TcCLB.508567.60	227	59	3	4
TcCLB.508567.70	75	59	6	12
TcCLB.508567.80	37	58	1	4
TcCLB.508567.89	295	52	1	1
TcCLB.508569.10	85	7	1	1
TcCLB.508569.100	37	43	9	3
TcCLB.508569.120	348	1	1	1
TcCLB.508569.130	18	46	1	4
TcCLB.508569.140	291	35	1	2
TcCLB.508569.20	412	67	2	9
TcCLB.508569.70	2264	56	1	21
TcCLB.508569.80	662	51	1	6
TcCLB.508569.90	1461	69	5	17
TcCLB.508585.10	170	67	3	4
TcCLB.508585.20	127	42	1	9
TcCLB.508605.20	496	62	2	1
TcCLB.508605.31	1176	63	2	5
TcCLB.508607.30	1238	41	1	1
TcCLB.508607.40	2878	40	3	5
TcCLB.508607.50	1666	54	4	4
TcCLB.508607.60	2492	36	1	1
TcCLB.508607.70	632	56	1	2
TcCLB.508609.20	89	58	1	1
TcCLB.508647.10	593	63	24	15
TcCLB.508647.100	60	66	3	3
TcCLB.508647.110	352	58	2	7
TcCLB.508647.120	313	56	1	7
TcCLB.508647.130	15	57	1	4
TcCLB.508647.140	119	65	2	5
TcCLB.508647.160	199	67	2	4
TcCLB.508647.170	100	51	1	4
TcCLB.508647.174	140	56	1	5
TcCLB.508647.180	329	74	45	18
TcCLB.508647.190	51	61	2	3
TcCLB.508647.20	22	61	1	8
TcCLB.508647.200	624	66	13	39
TcCLB.508647.210	506	63	3	5
TcCLB.508647.220	233	57	2	4
TcCLB.508647.250	48	67	2	6
TcCLB.508647.264	112	61	1	8
TcCLB.508647.270	46	46	1	4
TcCLB.508647.280	423	66	2	11
TcCLB.508647.290	621	65	69	20
TcCLB.508647.40	403	11	1	5
TcCLB.508647.50	469	66	2	4
TcCLB.508647.90	294	62	5	3
TcCLB.508671.10	730	63	3	5
TcCLB.508673.20	553	57	1	2
TcCLB.508675.20	1069	47	1	13
TcCLB.508675.29	242	81	12	22
TcCLB.508675.40	46	61	2	6
TcCLB.508675.50	73	51	1	1
TcCLB.508675.60	95	60	3	3
TcCLB.508681.20	2839	24	3	2
TcCLB.508687.25	849	19	1	1
TcCLB.508687.57	875	36	1	1
TcCLB.508717.20	693	56	1	31
TcCLB.508717.30	960	57	2	20
TcCLB.508717.33	171	61	1	2
TcCLB.508717.36	114	53	1	1
TcCLB.508717.40	81	72	3	2
TcCLB.508717.50	22	44	2	3
TcCLB.508717.53	340	36	1	2
TcCLB.508717.56	13	69	3	3
TcCLB.508719.20	113	36	1	2
TcCLB.508719.30	299	70	55	57
TcCLB.508719.40	218	67	2	15
TcCLB.508719.50	517	69	7	3
TcCLB.508719.60	1003	64	4	14
TcCLB.508719.70	1833	93	72	112
TcCLB.508719.80	141	51	3	4
TcCLB.508721.10	43	61	1	3
TcCLB.508721.20	19	51	1	5
TcCLB.508723.100	97	62	2	4
TcCLB.508723.110	123	64	3	3
TcCLB.508723.120	394	56	1	6
TcCLB.508723.20	18	71	2	4
TcCLB.508723.24	33	46	2	5
TcCLB.508723.30	382	61	1	4
TcCLB.508723.40	69	55	2	3
TcCLB.508723.50	508	47	2	2
TcCLB.508723.70	99	56	1	5
TcCLB.508723.90	37	62	1	2
TcCLB.508725.10	738	61	2	8
TcCLB.508727.18	124	52	1	4
TcCLB.508727.24	453	49	6	2
TcCLB.508727.40	112	56	2	2
TcCLB.508727.50	356	63	3	5
TcCLB.508727.54	103	24	1	1
TcCLB.508727.60	70	66	1	1
TcCLB.508729.18	203	43	1	12
TcCLB.508729.9	209	54	1	3
TcCLB.508731.20	141	31	1	2
TcCLB.508731.30	363	61	1	2
TcCLB.508731.40	85	72	2	9
TcCLB.508731.50	331	47	2	13
TcCLB.508731.60	33	40	1	6
TcCLB.508765.30	140	36	1	1
TcCLB.508765.40	386	54	3	2
TcCLB.508765.50	300	61	1	8
TcCLB.508767.10	544	56	1	5
TcCLB.508767.20	126	24	1	1
TcCLB.508771.10	2467	49	1	21
TcCLB.508771.20	232	39	1	1
TcCLB.508771.30	55	57	1	2
TcCLB.508771.34	180	67	2	1
TcCLB.508771.40	84	51	1	2
TcCLB.508771.50	129	50	3	2
TcCLB.508777.10	598	21	2	2
TcCLB.508777.100	48	57	8	5
TcCLB.508777.110	292	56	1	2
TcCLB.508777.120	201	47	1	4
TcCLB.508777.130	187	45	2	2
TcCLB.508777.140	189	52	1	1
TcCLB.508777.150	81	26	1	2
TcCLB.508777.160	567	56	1	3
TcCLB.508777.180	406	67	2	6
TcCLB.508777.190	147	51	1	1
TcCLB.508777.20	19	59	1	10
TcCLB.508777.200	300	28	1	2
TcCLB.508777.30	1313	56	2	7
TcCLB.508777.40	83	48	1	4
TcCLB.508777.50	401	52	1	2
TcCLB.508777.60	65	75	2	3
TcCLB.508777.70	336	51	1	4
TcCLB.508777.80	348	52	1	4
TcCLB.508777.90	100	62	2	3
TcCLB.508779.20	419	62	2	2
TcCLB.508779.30	17	55	1	6
TcCLB.508779.40	560	41	1	4
TcCLB.508779.50	151	61	2	3
TcCLB.508779.70	251	61	5	5
TcCLB.508779.80	200	69	4	5
TcCLB.508779.90	704	61	2	5
TcCLB.508781.110	1547	61	1	10
TcCLB.508781.120	32	68	46	10
TcCLB.508781.129	668	35	1	2
TcCLB.508781.20	350	68	3	6
TcCLB.508781.30	356	52	1	1
TcCLB.508781.40	288	41	1	1
TcCLB.508781.60	64	61	1	4
TcCLB.508781.70	67	66	1	2
TcCLB.508781.80	485	48	1	2
TcCLB.508781.90	193	32	1	1
TcCLB.508785.10	320	68	3	8
TcCLB.508787.10	60	66	1	2
TcCLB.508787.14	186	46	1	2
TcCLB.508787.20	109	48	2	2
TcCLB.508787.30	911	46	1	11
TcCLB.508805.10	62	63	3	5
TcCLB.508805.100	177	44	1	1
TcCLB.508805.110	169	30	4	1
TcCLB.508805.120	484	51	1	1
TcCLB.508805.20	881	56	1	13
TcCLB.508805.80	355	57	2	4
TcCLB.508805.90	165	71	7	3
TcCLB.508807.10	364	61	1	1
TcCLB.508809.30	121	36	1	3
TcCLB.508809.40	376	40	1	2
TcCLB.508811.30	932	37	1	1
TcCLB.508811.40	629	42	1	2
TcCLB.508811.55	410	11	1	1
TcCLB.508813.50	343	31	1	3
TcCLB.508813.60	74	53	4	10
TcCLB.508813.70	166	61	1	2
TcCLB.508813.80	228	69	4	7
TcCLB.508831.100	24	66	1	1
TcCLB.508831.110	318	56	2	3
TcCLB.508831.120	34	71	2	3
TcCLB.508831.140	19	41	1	3
TcCLB.508831.150	1264	61	4	8
TcCLB.508831.180	2576	16	1	1
TcCLB.508831.20	541	19	4	1
TcCLB.508831.220	1390	37	1	4
TcCLB.508831.40	68	53	1	1
